role,normalized_role
co-ordinator of the ph.d. course,coordinator
co-ordinator of the reasearch doctorate course,coordinator
co-ordinator of the research doctorate course,coordinator
co-ordinator of the research of doctorate course,coordinator
co-ordinatore del dottorato,coordinator
co-ordinators,coordinator
co-oridinator of the research doctorate course,coordinator
co-orientador,contributor
co-orientadores,contributor
co-promoter,promotor
co-promoters,promotor
co-promotor,co-promotor
co-promotors,co-promotor
co-relatore,co-supervisor
co-relatore esterno,external supervisor
co-relatore in denso italia,supervisor
co-relatori,supervisor
co-relators,supervisor
co-relatrice,co-supervisor
co-relatrici,contributor
co-responsabile scientifico,program director
co-reviewers,referee
co-superviors,contributor
co-supervisor,co-supervisor
co-supervisor and tutor,co-supervisor
co-supervisor ehess,co-supervisor
co-supervisor esterno,co-supervisor
co-supervisor interno,co-supervisor
co-supervisor of dissertation,co-supervisor
co-supervisor per la comparazione,co-supervisor
co-supervisor sum,co-supervisor
co-supervisore,co-supervisor
co-supervisori,co-supervisor
co-supervisori esterni,co-supervisor
co-supervisori interni,co-supervisor
co-supervisors,co-supervisor
co-supervisors (lomonosov moscow state university),co-supervisor
co-tuor,contributor
co-tuteurs,tutor
co-tutor,co-tutor
co-tutor (italy),co-tutor
co-tutor (milan),co-tutor
co-tutor (usa),co-tutor
co-tutor aggiunto,co-tutor
co-tutor del dottorando,co-tutor
co-tutor dell'attività di ricerca,co-tutor
co-tutor della ricerca,co-tutor
co-tutor e coordinatore,co-tutor
co-tutor esterni,co-tutor
co-tutor esterno,co-tutor
co-tutor estero,co-tutor
co-tutor europei,co-tutor
co-tutor interni,co-tutor
co-tutor interno,co-tutor
co-tutor scientifico,co-tutor
co-tutor/co-directeur de thèse,co-tutor
co-tutor/co-tutore,co-tutor
co-tutor/secondo supervisore,co-tutor
co-tutor/supervisor,co-tutor
co-tutore,co-tutor
co-tutore (dottorato in cotutela),co-tutor
co-tutore = 2nd supervisor,co-tutor
co-tutore del dottorando,co-tutor
co-tutore del dottorato,co-tutor
co-tutore della dottoranda,co-tutor
co-tutore e correlatore,co-tutor
co-tutore esterno,co-tutor
co-tutore-correlatore,co-tutor
co-tutore/correlatore,co-tutor
co-tutore/relatore,co-tutor
co-tutores,co-tutor
co-tutori,co-tutor
co-tutori del dottorando,co-tutor
co-tutori della dottoranda,co-tutor
co-tutoring,co-tutor
co-tutors,co-tutor
co-tutors esterni,co-tutor
co-tutors stranieri,co-tutor
co-tutur,co-tutor
co-visori,contributor
co.dir,contributor
co.relatore,supervisor
co.tutor,co-tutor
coadiutore,assistant
coadiutrice,assistant
coadvisor,co-advisor
coadvisors,co-advisor
codirecteur,co-director
codirecteur de these,co-director
codirecteur de thèse,co-director
codirector,co-director
codirettore,co-director
codirettore della ricerca,research director
codirettore di tesi,program director
codirettrice,co-director
codirigée,co-director
codocente guida,co-supervisor
coiordinatore,coordinator
colaborator,collaborator
collaboratore,collaborator
collaboratore esterno,collaborator
collaboratori,collaborator
collaborazione,collaborator
comissario ! esterno,external committee member
comissario[!] esterno,contributor
comitato scientifico,contributor
comitato tesi,contributor
commentor,commentator
commision,contributor
commisione giudicatrice,committee
commissari,committee member
commissari (discussione finale),contributor
commissari esame finale,contributor
commissari esterni,committee member
commissario aggiunto,committee member
commissario esterno,committee member
commissario interno,committee member
commissario per l'esame finale,committee member
commission,contributor
commissione,committee
commissione d'esame,exam committee
commissione della tesi,thesis committee
commissione di dottorato,committee
commissione di tesi,thesis committee
commissione esame finale,exam committee
commissione esaminatrice alla difesa della tesi (viva committee),committee
commissione esterna,external committee
commissione giudicatrice,jury
commissione giudicatrice (esterna),external jury
commisssione,committee
commitee in charge,contributor
committee,committee
committee in charge,committee
committee member,committee member
committee members,committee member
company advisor,advisor
company tutor,tutor
componente relatore,supervisor
composition du jury,committee member
compromotor,co-promotor
con la collaborazione di,contributor
condirettore,co-director
condirettore di ricerca,director
condirettori,co-director
consigliere scientifico,advisor
consortium headquarters,consortium institution
consorzio,institution
consorzio interuniversitario,interuniversity consortium
"consorzio politecnici di milano e torino, università degli studi di napoli e genova, coordinatore",coordinator
consorzio universitario,institution
consulente,consultant
consulente danese,consultant
consulente esterno,external supervisor
consulente interno,consultant
consulente per la storia dell'astronomia,consultant
consulente scientifico,consultant
consulenza scientifica,contributor
consulenza storica,contributor
consulting advisor,advisor
contorelatori,co-examiner
contributors,contributor
contro relatore,supervisor
contro tutore,tutor
contro-relator,supervisor
contro-relatore,supervisor
contro-relatori,supervisor
controrelatore,co-examiner
